phase,split,checkpoint_type,epoch,sample_index,user_id,target_timestamp,history_apps,history_ids,length,target_app,target_id,predicted_app,predicted_target_id,predicted_probability,hit_rank,top_k_apps,top_k_target_ids,top_k_probabilities,top_k_logits,logits,probabilities
final_eval,val,last,,13,device-00000054,2026-05-14 16:19:48,小红书,[14],1,华为音乐,4,哔哩哔哩,7,0.06432129,12,"[""哔哩哔哩"",""WPS"",""华为邮箱""]","[7,0,9]","[0.06432129,0.06377723,0.06236688]","[0.17651232,0.16801785,0.1456559]","[0.16801785,-0.18998936,-0.0703953,0.0208609,-0.05961819,0.07685486,0.04695208,0.17651232,0.032841,0.1456559,-0.0061837,-0.1425973,-0.13067964,-0.02368091,-0.29834348,-0.03693882,0.0637308,-0.14015351,-0.25349635]","[0.06377723,0.04458462,0.05024862,0.05504986,0.05079309,0.05822026,0.05650508,0.06432129,0.05571333,0.06236688,0.05358101,0.04674846,0.04730892,0.05265165,0.04000622,0.0519582,0.05746116,0.04686283,0.04184122]"
final_eval,val,last,,14,device-00000068,2026-05-02 22:13:18,剪映,[12],1,抖音,6,哔哩哔哩,7,0.07159819,3,"[""哔哩哔哩"",""WPS"",""抖音""]","[7,0,6]","[0.07159819,0.06708288,0.05989622]","[0.27229783,0.20715699,0.09384151]","[0.20715699,-0.08862891,0.06548807,0.04052987,-0.09314721,0.06237307,0.09384151,0.27229783,-0.20737019,-0.04579804,-0.09467184,0.00611129,-0.3045156,-0.18068199,-0.22207597,-0.02626714,-0.00525284,-0.20025352,-0.15922168]","[0.06708288,0.04990609,0.05822181,0.05678668,0.0496811,0.05804073,0.05989622,0.07159819,0.04431848,0.05209005,0.04960542,0.05486542,0.04021565,0.04551719,0.04367151,0.05311741,0.05424545,0.04463501,0.04650456]"
final_eval,val,last,,15,device-00000068,2026-05-02 22:13:22,剪映|抖音,"[12,8]",2,日历,8,哔哩哔哩,7,0.07201493,8,"[""哔哩哔哩"",""华为视频"",""WPS""]","[7,5,0]","[0.07201493,0.07090363,0.0692896]","[0.28751352,0.27196169,0.24893491]","[0.24893491,-0.01776576,-0.15368822,-0.07251809,-0.03098595,0.27196169,0.1312155,0.28751352,-0.03163898,0.03742531,-0.07364561,-0.09388542,-0.25034481,-0.08987886,-0.12685302,-0.19285141,-0.09247944,-0.31120202,-0.20466843]","[0.0692896,0.05306906,0.04632453,0.05024152,0.0523721,0.07090363,0.06159467,0.07201493,0.05233791,0.05608033,0.0501849,0.04917938,0.04205655,0.04937682,0.04758449,0.04454538,0.04924858,0.03957343,0.04402209]"
final_eval,val,last,,16,device-00000068,2026-05-02 22:13:22,剪映|抖音|日历,"[12,8,9]",3,小红书,10,WPS,0,0.0804961,10,"[""WPS"",""华为视频"",""哔哩哔哩""]","[0,5,7]","[0.0804961,0.07223187,0.06776259]","[0.39093924,0.28261203,0.21874085]","[0.39093924,0.05888311,-0.01760117,2.722e-05,-0.00488087,0.28261203,0.06052307,0.21874085,-0.10720663,-0.04472088,-0.08417156,-0.18744022,-0.29020703,-0.22976527,-0.22901773,-0.12923171,-0.15066625,-0.30615789,-0.22411373]","[0.0804961,0.05775169,0.05349929,0.05445075,0.05418416,0.07223187,0.05784647,0.06776259,0.04891396,0.05206789,0.05005377,0.04514273,0.04073397,0.04327193,0.04330429,0.0478484,0.04683371,0.04008938,0.04351718]"
final_eval,val,last,,17,device-00000068,2026-05-02 22:15:52,剪映|抖音|日历|小红书,"[12,8,9,14]",4,备忘录,2,WPS,0,0.08165853,7,"[""WPS"",""华为视频"",""哔哩哔哩""]","[0,5,7]","[0.08165853,0.07086387,0.06799003]","[0.38931286,0.24752727,0.20612764]","[0.38931286,-0.05457228,-0.03449455,0.01573827,-0.07189736,0.24752727,0.02594626,0.20612764,-0.00302815,-0.04208555,-0.05227169,-0.29221418,-0.28967866,-0.24333611,-0.31558856,-0.20459738,-0.1002697,-0.23444492,-0.24913666]","[0.08165853,0.05238714,0.05344959,0.05620308,0.05148734,0.07086387,0.05677974,0.06799003,0.05515819,0.05304538,0.0525078,0.04130648,0.04141134,0.04337561,0.04035215,0.04508889,0.05004706,0.04376299,0.04312474]"
final_eval,val,last,,18,device-00000068,2026-05-02 22:29:16,剪映|抖音|日历|小红书|备忘录,"[12,8,9,14,4]",5,华为浏览器,1,WPS,0,0.09389652,4,"[""WPS"",""华为视频"",""哔哩哔哩""]","[0,5,7]","[0.09389652,0.06490883,0.062371]","[0.54265708,0.17344742,0.13356423]","[0.54265708,0.11163619,0.06692439,-0.03061261,0.02124274,0.17344742,0.06661194,0.13356423,0.06054939,0.04391258,-0.0562885,-0.41011372,-0.40971529,-0.37342271,-0.35285172,-0.13045511,-0.19945557,-0.19272937,-0.31317192]","[0.09389652,0.06101821,0.05835007,0.05292753,0.05574451,0.06490883,0.05833184,0.062371,0.05797927,0.05702266,0.05158586,0.03621315,0.03622759,0.03756653,0.03834732,0.04789835,0.04470479,0.04500649,0.03989952]"
final_eval,val,last,,19,device-00000076,2026-05-04 17:34:14,华为浏览器,[3],1,海泰浏览器,11,WPS,0,0.0809985,13,"[""WPS"",""微信"",""华为浏览器""]","[0,3,1]","[0.0809985,0.06947647,0.06564708]","[0.40398413,0.25054166,0.19384673]","[0.40398413,0.19384673,0.02805375,0.25054166,-0.01133633,-0.07104757,0.04564459,0.11761377,-0.06556895,-0.02245101,-0.20272967,-0.12861072,-0.27762192,-0.2018494,-0.26994151,-0.07231759,-0.12073218,-0.21187642,-0.22190216]","[0.0809985,0.06564708,0.05561763,0.06947647,0.05346943,0.05037016,0.05660464,0.06082861,0.05064688,0.05287843,0.04415547,0.04755256,0.04096936,0.04419435,0.04128524,0.05030623,0.04792869,0.04375343,0.04331696]"
final_eval,val,last,,20,device-00000076,2026-05-04 18:02:32,华为浏览器|海泰浏览器,"[3,13]",2,备忘录,2,WPS,0,0.07018587,5,"[""WPS"",""微信"",""抖音""]","[0,3,6]","[0.07018587,0.06503436,0.06122546]","[0.24329413,0.16706289,0.10671014]","[0.24329413,0.04405542,0.06809455,0.16706289,0.02679607,0.01673495,0.10671014,0.09842227,-0.09527286,-0.07641003,-0.23667008,-0.08925615,-0.1628609,-0.20126051,-0.25592104,-0.08331314,-0.16300032,-0.21274385,-0.24786548]","[0.07018587,0.05750709,0.05890626,0.06503436,0.05652307,0.05595724,0.06122546,0.06072012,0.05002786,0.05098048,0.0434314,0.05032977,0.04675831,0.04499685,0.0426033,0.05062977,0.04675179,0.04448309,0.04294788]"
final_eval,val,last,,21,device-00000076,2026-05-30 11:25:06,剪映,[12],1,华为视频,5,哔哩哔哩,7,0.07159819,5,"[""哔哩哔哩"",""WPS"",""抖音""]","[7,0,6]","[0.07159819,0.06708288,0.05989622]","[0.27229783,0.20715699,0.09384151]","[0.20715699,-0.08862891,0.06548807,0.04052987,-0.09314721,0.06237307,0.09384151,0.27229783,-0.20737019,-0.04579804,-0.09467184,0.00611129,-0.3045156,-0.18068199,-0.22207597,-0.02626714,-0.00525284,-0.20025352,-0.15922168]","[0.06708288,0.04990609,0.05822181,0.05678668,0.0496811,0.05804073,0.05989622,0.07159819,0.04431848,0.05209005,0.04960542,0.05486542,0.04021565,0.04551719,0.04367151,0.05311741,0.05424545,0.04463501,0.04650456]"
final_eval,val,last,,22,device-00000120,2026-05-01 20:03:39,微信,[5],1,华为音乐,4,WPS,0,0.08571474,3,"[""WPS"",""华为浏览器"",""华为音乐""]","[0,1,4]","[0.08571474,0.08265866,0.06150256]","[0.44846028,0.41215512,0.11651426]","[0.44846028,0.41215512,0.09868817,0.03281443,0.11651426,-0.02869501,0.0948637,0.06621234,-0.1815924,0.01174656,-0.2216123,-0.16876906,-0.24092408,-0.27406815,-0.33071974,-0.17459321,-0.26061139,-0.32061225,-0.35657457]","[0.08571474,0.08265866,0.06041592,0.05656435,0.06150256,0.05318995,0.06018531,0.05848538,0.04564856,0.05538512,0.04385778,0.0462377,0.04301893,0.04161648,0.03932438,0.04596918,0.04218029,0.03972387,0.03832069]"
final_eval,val,last,,23,device-00000120,2026-05-01 21:37:18,抖音,[8],1,华为浏览器,1,华为视频,5,0.06638682,8,"[""华为视频"",""哔哩哔哩"",""WPS""]","[5,7,0]","[0.06638682,0.0638495,0.0610066]","[0.2217771,0.18280734,0.13726062]","[0.13726062,0.0314508,-0.20174867,-0.12062489,-0.00855645,0.2217771,0.0794245,0.18280734,0.10505957,0.11407757,0.01702792,-0.17092037,-0.10159802,0.03488373,-0.00179338,-0.1527957,-0.09104487,-0.27517071,-0.17666665]","[0.0610066,0.05488128,0.04346573,0.04713881,0.05272897,0.06638682,0.05757831,0.0638495,0.05907341,0.05960855,0.05409541,0.04482657,0.04804429,0.05507,0.05308679,0.04564645,0.048554,0.04038873,0.04456972]"
final_eval,val,last,,24,device-00000120,2026-05-01 21:40:50,抖音|华为浏览器,"[8,3]",2,钉钉,13,WPS,0,0.07979444,14,"[""WPS"",""微信"",""华为浏览器""]","[0,3,1]","[0.07979444,0.06560816,0.06254169]","[0.38887513,0.19312125,0.14525455]","[0.38887513,0.14525455,-0.12984961,0.19312125,-0.00834248,0.14137226,0.08688245,0.14426249,0.07793745,-0.07383112,-0.14186083,-0.25778872,-0.28195387,-0.16074121,-0.12428731,-0.17639601,-0.15911686,-0.26242131,-0.25244826]","[0.07979444,0.06254169,0.04749997,0.06560816,0.05363685,0.06229935,0.0589955,0.06247967,0.05847014,0.05023679,0.04693285,0.04179556,0.04079767,0.04605506,0.04776492,0.04533969,0.04612993,0.04160238,0.04201936]"
final_eval,val,last,,25,device-00000120,2026-05-02 23:40:55,华为视频,[7],1,钉钉,13,WPS,0,0.06934109,17,"[""WPS"",""华为视频"",""哔哩哔哩""]","[0,5,7]","[0.06934109,0.06846151,0.06066411]","[0.29817939,0.28541347,0.1644941]","[0.29817939,0.04557058,-0.02868778,0.14289367,0.14310259,0.28541347,0.16163646,0.1644941,0.09409276,0.10849963,-0.07100647,-0.28519806,-0.10359421,-0.2001144,-0.1188909,-0.02399483,-0.03915326,-0.16259456,-0.2468778]","[0.06934109,0.05386219,0.05000737,0.05936779,0.0593802,0.06846151,0.060491,0.06066411,0.05654015,0.05736061,0.04793528,0.03869306,0.04639836,0.04212932,0.04569401,0.05024261,0.04948675,0.04374003,0.04020456]"
final_eval,val,last,,26,device-00000120,2026-05-02 23:41:10,华为视频|钉钉,"[7,15]",2,华为视频,5,WPS,0,0.06885587,2,"[""WPS"",""华为视频"",""华为音乐""]","[0,5,4]","[0.06885587,0.06840551,0.06368593]","[0.26535356,0.25879136,0.18730178]","[0.26535356,-0.00748811,-0.01750526,0.18184441,0.18730178,0.25879136,0.02593674,0.17929898,0.0584375,-0.03299744,-0.12021598,-0.29667282,-0.04625021,-0.27555969,-0.11887135,0.0223154,-0.10888693,-0.18656114,-0.32129386]","[0.06885587,0.05241401,0.05189159,0.06333932,0.06368593,0.06840551,0.05419555,0.0631783,0.05598588,0.05109387,0.04682634,0.03925148,0.0504212,0.04008901,0.04688936,0.05399964,0.04735986,0.04382046,0.03829687]"
final_eval,val,last,,27,device-00000120,2026-05-02 23:41:33,华为视频|钉钉|华为视频,"[7,15,7]",3,钉钉,13,WPS,0,0.07717469,17,"[""WPS"",""华为视频"",""微信""]","[0,5,3]","[0.07717469,0.07435618,0.06376927]","[0.41453409,0.37732938,0.22373384]","[0.41453409,0.08372766,-0.0462729,0.22373384,0.22300729,0.37732938,0.1979166,0.20186546,0.19895664,0.03464682,-0.09740601,-0.38144711,-0.1062609,-0.32880348,-0.15328112,-0.02007546,-0.11745404,-0.27916116,-0.34505025]","[0.07717469,0.05543799,0.04867982,0.06376927,0.06372295,0.07435618,0.06214399,0.06238987,0.06220865,0.05278274,0.04625324,0.03481647,0.04584548,0.03669843,0.04373971,0.04997196,0.04533518,0.0385662,0.03610702]"
final_eval,val,last,,28,device-00000120,2026-05-03 00:15:50,华为视频|钉钉|华为视频|钉钉,"[7,15,7,15]",4,日历,8,WPS,0,0.07311721,6,"[""WPS"",""华为视频"",""华为音乐""]","[0,5,4]","[0.07311721,0.07229333,0.06724671]","[0.33133304,0.32000116,0.24763742]","[0.33133304,0.02686135,-0.02901278,0.24528247,0.24763742,0.32000116,0.05299537,0.19461721,0.08642926,-0.08045954,-0.11522281,-0.37533131,-0.04780092,-0.34642509,-0.13599563,0.01062637,-0.15451591,-0.24210984,-0.39260086]","[0.07311721,0.05392488,0.05099451,0.06708854,0.06724671,0.07229333,0.05535274,0.06377415,0.05723468,0.04843735,0.04678244,0.03606776,0.05004536,0.03712556,0.04582066,0.05305649,0.04497986,0.04120753,0.03545024]"
final_eval,val,last,,29,device-00000127,2026-05-08 13:08:55,华为浏览器,[3],1,抖音,6,WPS,0,0.0809985,5,"[""WPS"",""微信"",""华为浏览器""]","[0,3,1]","[0.0809985,0.06947647,0.06564708]","[0.40398413,0.25054166,0.19384673]","[0.40398413,0.19384673,0.02805375,0.25054166,-0.01133633,-0.07104757,0.04564459,0.11761377,-0.06556895,-0.02245101,-0.20272967,-0.12861072,-0.27762192,-0.2018494,-0.26994151,-0.07231759,-0.12073218,-0.21187642,-0.22190216]","[0.0809985,0.06564708,0.05561763,0.06947647,0.05346943,0.05037016,0.05660464,0.06082861,0.05064688,0.05287843,0.04415547,0.04755256,0.04096936,0.04419435,0.04128524,0.05030623,0.04792869,0.04375343,0.04331696]"
final_eval,val,last,,30,device-00000127,2026-05-08 14:23:31,微信,[5],1,哔哩哔哩,7,WPS,0,0.08571474,6,"[""WPS"",""华为浏览器"",""华为音乐""]","[0,1,4]","[0.08571474,0.08265866,0.06150256]","[0.44846028,0.41215512,0.11651426]","[0.44846028,0.41215512,0.09868817,0.03281443,0.11651426,-0.02869501,0.0948637,0.06621234,-0.1815924,0.01174656,-0.2216123,-0.16876906,-0.24092408,-0.27406815,-0.33071974,-0.17459321,-0.26061139,-0.32061225,-0.35657457]","[0.08571474,0.08265866,0.06041592,0.05656435,0.06150256,0.05318995,0.06018531,0.05848538,0.04564856,0.05538512,0.04385778,0.0462377,0.04301893,0.04161648,0.03932438,0.04596918,0.04218029,0.03972387,0.03832069]"
final_eval,val,last,,31,device-00000127,2026-05-08 14:24:01,微信|哔哩哔哩,"[5,10]",2,华为音乐,4,WPS,0,0.08639618,3,"[""WPS"",""华为浏览器"",""华为音乐""]","[0,1,4]","[0.08639618,0.07053883,0.06420771]","[0.4752937,0.27251351,0.1784735]","[0.4752937,0.27251351,0.09964184,0.03951731,0.1784735,0.01970989,0.1373677,0.10637911,-0.13918625,-0.02622627,-0.24957353,-0.22771248,-0.08748031,-0.26396745,-0.32169348,-0.07288789,-0.093986,-0.30881125,-0.39630401]","[0.08639618,0.07053883,0.05934048,0.0558778,0.06420771,0.05478189,0.06162191,0.05974162,0.0467336,0.05232234,0.04184935,0.04277429,0.04921357,0.04125129,0.03893744,0.04993698,0.04889444,0.03944229,0.03613803]"
final_eval,val,last,,32,device-00000127,2026-05-08 14:25:29,微信|哔哩哔哩|华为音乐,"[5,10,6]",3,华为视频,5,WPS,0,0.0877298,4,"[""WPS"",""华为浏览器"",""华为音乐""]","[0,1,4]","[0.0877298,0.07018309,0.06395172]","[0.49088275,0.26772851,0.17474952]","[0.49088275,0.26772851,0.13118732,-0.01519499,0.17474952,0.13755184,0.12035962,0.09639035,-0.13947095,-0.04736856,-0.20789647,-0.233428,-0.14804468,-0.29537997,-0.32221845,-0.12954687,-0.0692656,-0.28132245,-0.40938255]","[0.0877298,0.07018309,0.06122565,0.0528884,0.06395172,0.06161657,0.06056629,0.05913182,0.04670765,0.05121387,0.04361855,0.042519,0.0463089,0.0399648,0.03890647,0.04717349,0.05010463,0.04053057,0.03565881]"
final_eval,val,last,,33,device-00000127,2026-05-09 17:38:11,WPS,[2],1,日历,8,华为浏览器,1,0.09829451,16,"[""华为浏览器"",""WPS"",""备忘录""]","[1,0,2]","[0.09829451,0.08595993,0.08561739]","[0.57226902,0.43818206,0.43418935]","[0.43818206,0.57226902,0.43418935,0.23850346,-0.00260794,-0.18443407,-0.03422632,-0.14791572,-0.39595559,-0.10415498,-0.1312293,-0.17662209,-0.23388727,-0.51968086,-0.45018718,-0.30580646,-0.26028425,-0.24594435,-0.45404679]","[0.08595993,0.09829451,0.08561739,0.07040066,0.05531761,0.04612085,0.05359592,0.04783624,0.03732799,0.04997607,0.04864115,0.04648256,0.04389551,0.03298385,0.03535755,0.04084942,0.04275196,0.04336943,0.03522135]"
final_eval,val,last,,34,device-00000219,2026-05-01 15:27:05,华为音乐,[6],1,日历,8,WPS,0,0.06760579,13,"[""WPS"",""华为视频"",""哔哩哔哩""]","[0,5,7]","[0.06760579,0.06420808,0.05801192]","[0.238914,0.18734938,0.08586904]","[0.238914,0.05297065,0.02051903,0.00647135,0.0255587,0.18734938,0.01990644,0.08586904,-0.09646695,0.0306989,0.03073226,-0.14133199,-0.07435831,-0.10631856,-0.17755884,-0.13306344,0.05319493,-0.14382206,-0.23478298]","[0.06760579,0.05613448,0.05434207,0.05358402,0.05461662,0.06420808,0.05430879,0.05801192,0.04834257,0.05489808,0.05489992,0.04622162,0.04942327,0.04786866,0.04457712,0.04660539,0.05614707,0.04610667,0.04209785]"
